"","species","culmen_length_mm","flipper_length_mm"
"1","Chinstrap",46.5,192
"2","Chinstrap",50,196
"3","Chinstrap",51.3,193
"4","Chinstrap",45.4,188
"5","Chinstrap",52.7,197
"6","Chinstrap",45.2,198
"7","Chinstrap",46.1,178
"8","Chinstrap",51.3,197
"9","Chinstrap",46,195
"10","Chinstrap",51.3,198
"11","Chinstrap",46.6,193
"12","Chinstrap",51.7,194
"13","Chinstrap",47,185
"14","Chinstrap",52,201
"15","Chinstrap",45.9,190
"16","Chinstrap",50.5,201
"17","Chinstrap",50.3,197
"18","Chinstrap",58,181
"19","Chinstrap",46.4,190
"20","Chinstrap",49.2,195
"21","Chinstrap",42.4,181
"22","Chinstrap",48.5,191
"23","Chinstrap",43.2,187
"24","Chinstrap",50.6,193
"25","Chinstrap",46.7,195
"26","Chinstrap",52,197
"27","Chinstrap",50.5,200
"28","Chinstrap",49.5,200
"29","Chinstrap",46.4,191
"30","Chinstrap",52.8,205
"31","Chinstrap",40.9,187
"32","Chinstrap",54.2,201
"33","Chinstrap",42.5,187
"34","Chinstrap",51,203
"35","Chinstrap",49.7,195
"36","Chinstrap",47.5,199
"37","Chinstrap",47.6,195
"38","Chinstrap",52,210
"39","Chinstrap",46.9,192
"40","Chinstrap",53.5,205
"41","Chinstrap",49,210
"42","Chinstrap",46.2,187
"43","Chinstrap",50.9,196
"44","Chinstrap",45.5,196
"45","Chinstrap",50.9,196
"46","Chinstrap",50.8,201
"47","Chinstrap",50.1,190
"48","Chinstrap",49,212
"49","Chinstrap",51.5,187
"50","Chinstrap",49.8,198
"51","Chinstrap",48.1,199
"52","Chinstrap",51.4,201
"53","Chinstrap",45.7,193
"54","Chinstrap",50.7,203
"55","Chinstrap",42.5,187
"56","Chinstrap",52.2,197
"57","Chinstrap",45.2,191
"58","Chinstrap",49.3,203
"59","Chinstrap",50.2,202
"60","Chinstrap",45.6,194
"61","Chinstrap",51.9,206
"62","Chinstrap",46.8,189
"63","Chinstrap",45.7,195
"64","Chinstrap",55.8,207
"65","Chinstrap",43.5,202
"66","Chinstrap",49.6,193
"67","Chinstrap",50.8,210
"68","Chinstrap",50.2,198
