"","species","culmen_length_mm","flipper_length_mm"
"1","Adelie",39.1,181
"2","Adelie",39.5,186
"3","Adelie",40.3,195
"5","Adelie",36.7,193
"6","Adelie",39.3,190
"7","Adelie",38.9,181
"8","Adelie",39.2,195
"13","Adelie",41.1,182
"14","Adelie",38.6,191
"15","Adelie",34.6,198
"16","Adelie",36.6,185
"17","Adelie",38.7,195
"18","Adelie",42.5,197
"19","Adelie",34.4,184
"20","Adelie",46,194
"21","Adelie",37.8,174
"22","Adelie",37.7,180
"23","Adelie",35.9,189
"24","Adelie",38.2,185
"25","Adelie",38.8,180
"26","Adelie",35.3,187
"27","Adelie",40.6,183
"28","Adelie",40.5,187
"29","Adelie",37.9,172
"30","Adelie",40.5,180
"31","Adelie",39.5,178
"32","Adelie",37.2,178
"33","Adelie",39.5,188
"34","Adelie",40.9,184
"35","Adelie",36.4,195
"36","Adelie",39.2,196
"37","Adelie",38.8,190
"38","Adelie",42.2,180
"39","Adelie",37.6,181
"40","Adelie",39.8,184
"41","Adelie",36.5,182
"42","Adelie",40.8,195
"43","Adelie",36,186
"44","Adelie",44.1,196
"45","Adelie",37,185
"46","Adelie",39.6,190
"47","Adelie",41.1,182
"49","Adelie",36,190
"50","Adelie",42.3,191
"51","Adelie",39.6,186
"52","Adelie",40.1,188
"53","Adelie",35,190
"54","Adelie",42,200
"55","Adelie",34.5,187
"56","Adelie",41.4,191
"57","Adelie",39,186
"58","Adelie",40.6,193
"59","Adelie",36.5,181
"60","Adelie",37.6,194
"61","Adelie",35.7,185
"62","Adelie",41.3,195
"63","Adelie",37.6,185
"64","Adelie",41.1,192
"65","Adelie",36.4,184
"66","Adelie",41.6,192
"67","Adelie",35.5,195
"68","Adelie",41.1,188
"69","Adelie",35.9,190
"70","Adelie",41.8,198
"71","Adelie",33.5,190
"72","Adelie",39.7,190
"73","Adelie",39.6,196
"74","Adelie",45.8,197
"75","Adelie",35.5,190
"76","Adelie",42.8,195
"77","Adelie",40.9,191
"78","Adelie",37.2,184
"79","Adelie",36.2,187
"80","Adelie",42.1,195
"81","Adelie",34.6,189
"82","Adelie",42.9,196
"83","Adelie",36.7,187
"84","Adelie",35.1,193
"85","Adelie",37.3,191
"86","Adelie",41.3,194
"87","Adelie",36.3,190
"88","Adelie",36.9,189
"89","Adelie",38.3,189
"90","Adelie",38.9,190
"91","Adelie",35.7,202
"92","Adelie",41.1,205
"93","Adelie",34,185
"94","Adelie",39.6,186
"95","Adelie",36.2,187
"96","Adelie",40.8,208
"97","Adelie",38.1,190
"98","Adelie",40.3,196
"99","Adelie",33.1,178
"100","Adelie",43.2,192
"101","Adelie",35,192
"102","Adelie",41,203
"103","Adelie",37.7,183
"104","Adelie",37.8,190
"105","Adelie",37.9,193
"106","Adelie",39.7,184
"107","Adelie",38.6,199
"108","Adelie",38.2,190
"109","Adelie",38.1,181
"110","Adelie",43.2,197
"111","Adelie",38.1,198
"112","Adelie",45.6,191
"113","Adelie",39.7,193
"114","Adelie",42.2,197
"115","Adelie",39.6,191
"116","Adelie",42.7,196
"117","Adelie",38.6,188
"118","Adelie",37.3,199
"119","Adelie",35.7,189
"120","Adelie",41.1,189
"121","Adelie",36.2,187
"122","Adelie",37.7,198
"123","Adelie",40.2,176
"124","Adelie",41.4,202
"125","Adelie",35.2,186
"126","Adelie",40.6,199
"127","Adelie",38.8,191
"128","Adelie",41.5,195
"129","Adelie",39,191
"130","Adelie",44.1,210
"131","Adelie",38.5,190
"132","Adelie",43.1,197
"133","Adelie",36.8,193
"134","Adelie",37.5,199
"135","Adelie",38.1,187
"136","Adelie",41.1,190
"137","Adelie",35.6,191
"138","Adelie",40.2,200
"139","Adelie",37,185
"140","Adelie",39.7,193
"141","Adelie",40.2,193
"142","Adelie",40.6,187
"143","Adelie",32.1,188
"144","Adelie",40.7,190
"145","Adelie",37.3,192
"146","Adelie",39,185
"147","Adelie",39.2,190
"148","Adelie",36.6,184
"149","Adelie",36,195
"150","Adelie",37.8,193
"151","Adelie",36,187
"152","Adelie",41.5,201
"153","Gentoo",46.1,211
"154","Gentoo",50,230
"155","Gentoo",48.7,210
"156","Gentoo",50,218
"157","Gentoo",47.6,215
"158","Gentoo",46.5,210
"159","Gentoo",45.4,211
"160","Gentoo",46.7,219
"161","Gentoo",43.3,209
"162","Gentoo",46.8,215
"163","Gentoo",40.9,214
"164","Gentoo",49,216
"165","Gentoo",45.5,214
"166","Gentoo",48.4,213
"167","Gentoo",45.8,210
"168","Gentoo",49.3,217
"169","Gentoo",42,210
"170","Gentoo",49.2,221
"171","Gentoo",46.2,209
"172","Gentoo",48.7,222
"173","Gentoo",50.2,218
"174","Gentoo",45.1,215
"175","Gentoo",46.5,213
"176","Gentoo",46.3,215
"177","Gentoo",42.9,215
"178","Gentoo",46.1,215
"180","Gentoo",47.8,215
"181","Gentoo",48.2,210
"182","Gentoo",50,220
"183","Gentoo",47.3,222
"184","Gentoo",42.8,209
"185","Gentoo",45.1,207
"186","Gentoo",59.6,230
"187","Gentoo",49.1,220
"188","Gentoo",48.4,220
"189","Gentoo",42.6,213
"190","Gentoo",44.4,219
"191","Gentoo",44,208
"192","Gentoo",48.7,208
"193","Gentoo",42.7,208
"194","Gentoo",49.6,225
"195","Gentoo",45.3,210
"196","Gentoo",49.6,216
"197","Gentoo",50.5,222
"198","Gentoo",43.6,217
"199","Gentoo",45.5,210
"200","Gentoo",50.5,225
"201","Gentoo",44.9,213
"202","Gentoo",45.2,215
"203","Gentoo",46.6,210
"204","Gentoo",48.5,220
"205","Gentoo",45.1,210
"206","Gentoo",50.1,225
"207","Gentoo",46.5,217
"208","Gentoo",45,220
"209","Gentoo",43.8,208
"210","Gentoo",45.5,220
"211","Gentoo",43.2,208
"212","Gentoo",50.4,224
"213","Gentoo",45.3,208
"214","Gentoo",46.2,221
"215","Gentoo",45.7,214
"216","Gentoo",54.3,231
"217","Gentoo",45.8,219
"218","Gentoo",49.8,230
"220","Gentoo",49.5,229
"221","Gentoo",43.5,220
"222","Gentoo",50.7,223
"223","Gentoo",47.7,216
"224","Gentoo",46.4,221
"225","Gentoo",48.2,221
"226","Gentoo",46.5,217
"227","Gentoo",46.4,216
"228","Gentoo",48.6,230
"229","Gentoo",47.5,209
"230","Gentoo",51.1,220
"231","Gentoo",45.2,215
"232","Gentoo",45.2,223
"233","Gentoo",49.1,212
"234","Gentoo",52.5,221
"235","Gentoo",47.4,212
"236","Gentoo",50,224
"237","Gentoo",44.9,212
"238","Gentoo",50.8,228
"239","Gentoo",43.4,218
"240","Gentoo",51.3,218
"241","Gentoo",47.5,212
"242","Gentoo",52.1,230
"243","Gentoo",47.5,218
"244","Gentoo",52.2,228
"245","Gentoo",45.5,212
"246","Gentoo",49.5,224
"247","Gentoo",44.5,214
"248","Gentoo",50.8,226
"249","Gentoo",49.4,216
"250","Gentoo",46.9,222
"251","Gentoo",48.4,203
"252","Gentoo",51.1,225
"253","Gentoo",48.5,219
"254","Gentoo",55.9,228
"255","Gentoo",47.2,215
"256","Gentoo",49.1,228
"258","Gentoo",46.8,215
"259","Gentoo",41.7,210
"260","Gentoo",53.4,219
"261","Gentoo",43.3,208
"262","Gentoo",48.1,209
"263","Gentoo",50.5,216
"264","Gentoo",49.8,229
"265","Gentoo",43.5,213
"266","Gentoo",51.5,230
"267","Gentoo",46.2,217
"268","Gentoo",55.1,230
"270","Gentoo",48.8,222
"271","Gentoo",47.2,214
"273","Gentoo",46.8,215
"274","Gentoo",50.4,222
"275","Gentoo",45.2,212
"276","Gentoo",49.9,213
"277","Chinstrap",46.5,192
"278","Chinstrap",50,196
"279","Chinstrap",51.3,193
"280","Chinstrap",45.4,188
"281","Chinstrap",52.7,197
"282","Chinstrap",45.2,198
"283","Chinstrap",46.1,178
"284","Chinstrap",51.3,197
"285","Chinstrap",46,195
"286","Chinstrap",51.3,198
"287","Chinstrap",46.6,193
"288","Chinstrap",51.7,194
"289","Chinstrap",47,185
"290","Chinstrap",52,201
"291","Chinstrap",45.9,190
"292","Chinstrap",50.5,201
"293","Chinstrap",50.3,197
"294","Chinstrap",58,181
"295","Chinstrap",46.4,190
"296","Chinstrap",49.2,195
"297","Chinstrap",42.4,181
"298","Chinstrap",48.5,191
"299","Chinstrap",43.2,187
"300","Chinstrap",50.6,193
"301","Chinstrap",46.7,195
"302","Chinstrap",52,197
"303","Chinstrap",50.5,200
"304","Chinstrap",49.5,200
"305","Chinstrap",46.4,191
"306","Chinstrap",52.8,205
"307","Chinstrap",40.9,187
"308","Chinstrap",54.2,201
"309","Chinstrap",42.5,187
"310","Chinstrap",51,203
"311","Chinstrap",49.7,195
"312","Chinstrap",47.5,199
"313","Chinstrap",47.6,195
"314","Chinstrap",52,210
"315","Chinstrap",46.9,192
"316","Chinstrap",53.5,205
"317","Chinstrap",49,210
"318","Chinstrap",46.2,187
"319","Chinstrap",50.9,196
"320","Chinstrap",45.5,196
"321","Chinstrap",50.9,196
"322","Chinstrap",50.8,201
"323","Chinstrap",50.1,190
"324","Chinstrap",49,212
"325","Chinstrap",51.5,187
"326","Chinstrap",49.8,198
"327","Chinstrap",48.1,199
"328","Chinstrap",51.4,201
"329","Chinstrap",45.7,193
"330","Chinstrap",50.7,203
"331","Chinstrap",42.5,187
"332","Chinstrap",52.2,197
"333","Chinstrap",45.2,191
"334","Chinstrap",49.3,203
"335","Chinstrap",50.2,202
"336","Chinstrap",45.6,194
"337","Chinstrap",51.9,206
"338","Chinstrap",46.8,189
"339","Chinstrap",45.7,195
"340","Chinstrap",55.8,207
"341","Chinstrap",43.5,202
"342","Chinstrap",49.6,193
"343","Chinstrap",50.8,210
"344","Chinstrap",50.2,198
